MES零件号,客户零件号,中文描述
B010503-01215,,A28侧饰板卡钉座（左）深棕色
B010503-01218,,A28掀背门下饰板本体深棕色
B010503-01219,,A28掀背门左维修孔盖板
B010503-01220,,A28掀背门右维修孔盖板
B010503-01221,,A28掀背门紧急开锁孔盖板
B010503-01224,,A28 左侧饰板卡钉座深铁蓝
B010503-01227,,A28掀背门下饰板本体深铁蓝
B010503-01228,,A28掀背门左维修孔盖板
B010503-01229,,A28掀背门右维修孔盖板
B010503-01230,,A28掀背门紧急开锁孔盖板
B010503-01233,,A28 左A柱上饰板螺栓饰盖(无字）M28暖沙色
B010503-01234,,A28 左A柱上饰板螺栓饰盖(有字）M28暖沙色
B010503-01235,,A28 左A柱上饰板喇叭罩暖沙色
B010503-01239,,A28 左C柱上饰板螺栓饰盖(无字）M28暖沙色
B010503-01240,,A28 左C柱上饰板螺栓饰盖(有字）M28暖沙色
B010503-01242,,A28 遮物帘支撑盖板饰盖深棕色
B010503-01243,,A28左侧后排座椅锁扣饰盖深棕色
B010503-01247,,A28 右A柱上饰板螺栓饰盖(无字）M28暖沙色
B010503-01249,,A28 右A柱上饰板喇叭罩暖沙色
B010503-01253,,A28右B柱饰板滑板盖板
B010503-01254,,A28 右B柱上饰板螺栓饰盖(无字）M28暖沙色
B010503-01259,,A28 右C柱上饰板螺栓饰盖(无字）M28暖沙色
B010503-01260,,A28 右C柱上饰板螺栓饰盖(有字）M28暖沙色
B010503-01263,,A28右侧后排座椅锁扣饰盖深棕色
B010503-01266,,A28掀背门门槛饰板锁扣饰盖本体深棕色
B010503-01273,,A28 左B柱上饰板本体（低配）
B010503-01274,,A28 左B柱上饰板本体 （高配）
B010503-01275,,A28左B柱饰板滑板盖板
B010503-01276,,A28 左B柱上饰板螺栓饰盖(无字）浅灰实色
B010503-01281,,A28 左C柱上饰板螺栓饰盖(无字）浅灰实色
B010503-01283,,A28 左C柱下饰板本体深铁蓝
B01050301284,,遮物帘左支撑盖板饰盖
B010503-01285,,A28左侧后排座椅锁扣饰盖深铁蓝
B010503-01289,,A28 右A柱上饰板螺栓饰盖(无字）浅灰实色
B010503-01290,,A28 右A柱上饰板螺栓饰盖(有字）浅灰实色
B010503-01293,,A28 右B柱上饰板本体（低配）
B010503-01294,,A28 右B柱上饰板本体（高配）
B010503-01295,,A28右B柱饰板滑板盖板
B010503-01296,,A28 右B柱上饰板螺栓饰盖(无字）浅灰实色
B010503-01297,,A28 右B柱上饰板螺栓饰盖(有字）浅灰实色
B010503-01301,,A28 右C柱上饰板螺栓饰盖(无字）浅灰实色
B010503-01303,,A28-右C柱下饰板本体(M27深铁蓝色)深铁蓝
B01050301304,,遮物帘右支撑盖板饰盖
B010503-01305,,A28右侧后排座椅锁扣饰盖深铁蓝
B010503-01310,,A28 手套箱内板暖沙色
B010503-01312,,A28 手套箱内板M29赭石色
B010503-01316,,A28仪表板下本体M29赭石色
B010503-01365,,A28-手套箱左锁舌外衬套深铁蓝
B010503-01367,,A28-手套箱右锁舌外衬套深铁蓝
B010503-01369,,A28左B柱饰板滑板盖板
B010503-01370,,A28 左B柱上饰板螺栓饰盖(无字）M28暖沙色
B010503-01400,,A28电源堵盖
B010503-01401,,A28电源堵盖
B010503-01580,,AL 左侧安全带滑片M32
B010503-01584,,AL 左侧安全带滑片M69
B010503-01585,,AL 左高调器按钮M69
B010503-01586,,AL 右侧安全带滑片M69
B010503-01587,,AL 右高调器按钮M69
B010503-01776,,AC左C柱护板本体M01
B010503-01781,,A56掀背门侧饰板卡钉座右黒
B010503-01840,,A56掀背门侧饰板卡钉座左黒
B010503-02102,,A68 DP左前门软质上装饰板骨架黒色M10
B010503-02103,,A68 左前门内水切支架黒色M10
B010503-02104,,A68 DP右前门软质上装饰板骨架黒色M10
B010503-02105,,A68 右前门内水切支架黒色M10
B010503-02137,,A30掀背门紧急开锁孔盖板M53
B010503-02167,,A30 驾驶侧下护板本体黑色
B010503-02168,,A30 储物盒盖板_M53浅缎灰
B010503-02170,,A30 储物盒开启手柄_M53浅煅灰
B010503-02171,,A30 储物盒开启手柄_M10素雅黑
B010503-02177,,A30 手套箱锁舌衬套-左_M10黑色
B010503-02179,,A30 手套箱锁舌衬套-右_M10黑色
B010503-02180,,A30手套箱外板_高配_M53浅缎灰
B010503-02181,,A30手套箱外板_高配_M10黑色
B010503-02182,,A30手套箱外板_中低配_M53浅缎灰
B010503-02184,,A30手套箱内板_M10黑色
B010503-02264,,A30掀背门紧急开锁孔盖板M56
B010503-02270,,A2A PHEV左C柱下饰板本体深铁蓝
B010503-02289,,A30 手套箱锁舌衬套-左_M55深海蓝
B010503-02290,,A30 手套箱锁舌衬套-右_M55深海蓝
B010503-02291,,A30 手套箱锁舌衬套-左_M52栗棕色
B010503-02292,,A30 手套箱锁舌衬套-右_M52栗棕色
B010503-02293,,A30手套箱外板_高配_M56浅冷灰
B010503-02294,,A30手套箱外板_中低配_M56浅冷灰
B010503-02297,,A30 储物盒盖板_M56浅冷灰
B010503-02298,,A30 储物盒开启手柄_M56浅冷灰
B010503-02388,,A68 DP左后门软质上装饰板骨架黒色M10
B010503-02389,,A68 DP右后门软质上装饰板骨架黒色M10
B010503-02393,,A2A 遮物帘左支撑盖板饰盖M10
B010503-02395,,A30 掀背门拉手盒高配-新浅缎灰_M53
B010503-02396,,A30 掀背门拉手盒高配-新素雅黑_M10
B010503-02397,,A30 掀背门拉手盒高配-新浅冷灰_M56
B010503-02398,,A30 掀背门拉手盒低配-新浅缎灰_M53
B010503-02399,,A30 掀背门拉手盒低配-新素雅黑_M10
B010503-02400,,A30 掀背门拉手盒低配-新浅冷灰_M56
B010503-02401,,A30 掀背门拉手盒盖板浅缎灰_M53
B010503-02402,,A30 掀背门拉手盒盖板素雅黑_M10
B010503-02403,,A30 掀背门拉手盒盖板浅冷灰_M56
B010503-02404,,A30 左前门下饰板本体浅缎灰M53
B010503-02405,,A30 左前门下饰板本体M10
B010503-02406,,A30 右前门下饰板本体浅缎灰M53
B010503-02408,,A30 左前门下饰板本体浅冷灰M56
B010503-02409,,A30 右前门下饰板本体M10
B010503-02612,,A28掀背门门槛饰板锁扣饰盖焊接深棕色
B010503-02613,,A28掀背门门槛饰板锁扣饰盖焊接深铁蓝
B010503-02631,,A32 手套箱内板(M41绅士黑)
B010503-02666,,A32 遮物帘支撑盖板饰盖(M41绅士黑)(M41绅士黑)
B010503-02667,,A32左侧后排座椅锁扣饰盖(M41绅士黑)
B010503-02668,,A32电源堵盖
B010503-02674,,A32右侧后排座椅锁扣饰盖(M41绅士黑)
B010503-02679,,A32掀背门门槛饰板锁扣饰盖本体(M41绅士黑)
B010503-02684,,A32掀背门左维修孔盖板
B010503-02685,,A32掀背门右维修孔盖板
B010503-02686,,A32掀背门紧急开锁孔盖板
B010503-02710,,A32手套箱右锁舌外衬套(M41绅士黑)
B010503-02711,,A32手套箱左锁舌外衬套(M41绅士黑)
B010503-02712,,A32手套箱右锁舌外衬套(M28暖沙色)
B010503-02713,,A32手套箱左锁舌外衬套(M28暖沙色)
B010503-02821,,A32左侧饰板卡钉座绅士黑
B010503-02822,,AL 止位板 左M69
B010503-02823,,AL 止位板  右M69
B010503-02934,,A68 安全带滑片总成 左M69
B010503-02936,,A68 安全带滑片总成 右M69
C004040-2253,,右后外门槛饰板总成
C004040-2254,,左后外门槛饰板总成
C004040-2255,,右前外门槛饰板总成
C004040-2256,,左前外门槛饰板总成
,,A06手套箱总成M10
A010503-0671,,AF副仪表板本体骨架加（M10）
A010503-1629,,A28手套箱外盖板M29赭石色
A010503-1630,,A28 手套箱内板M29赭石色
A010503-1632,,A28手套箱外盖板暖沙色
A010503-1633,,A28 手套箱内板暖沙色
A010503-2446,,A30 手套箱框_中高配M10素雅黑
A010503-2567,,
A010503-3000,,A32 手套箱外盖板总成M41(M41绅士黑)
A010503-3001,,A32 手套箱内板(M41绅士黑)
B010305-02114,,523左前端固定支架黒色60%GFL
B010305-02115,,523右前端固定支架黒色60%GFL
B010503-01109,,A68 锁杆导套_左黒PA6
B010503-01110,,A68 锁杆导套_右黒PA6
B010503-01181,,AL 左前门窗框饰板本体黒色PA6+GF15
B010503-01248,,A28 右A柱上饰板螺栓饰盖(有字）M28暖沙色
B010503-01255,,A28 右B柱上饰板螺栓饰盖(有字）M28暖沙色
B010503-01269,,A28 左A柱上饰板螺栓饰盖(无字）浅灰实色
B010503-01270,,A28 左A柱上饰板螺栓饰盖(有字）浅灰实色
B010503-01271,,A28 左A柱上饰板喇叭罩浅灰实色
B010503-01277,,A28 左B柱上饰板螺栓饰盖(有字）浅灰实色
B010503-01282,,A28 左C柱上饰板螺栓饰盖(有字）浅灰实色
B010503-01284,,A28 遮物帘支撑盖板饰盖深铁蓝
B010503-01291,,A28 右A柱上饰板喇叭罩浅灰实色
B010503-01302,,A28 右C柱上饰板螺栓饰盖(有字）浅灰实色
B010503-01304,,遮物帘右支撑盖板饰盖
B010503-01371,,A28 左B柱上饰板螺栓饰盖(有字）M28暖沙色
B010503-02132,,A30掀背门紧急开锁孔盖板M10
B010503-02169,,A30 储物盒盖板_M10黑色
B010503-02183,,A30手套箱外板_中低配_M10黑色
